word,meaning,part_of_speech,examples,meaning_vi,phonetic
express,"
+) mail that is distributed by a rapid and efficient system
+) public transport consisting of a fast train or bus that makes only a few scheduled stops
+) rapid transport of goods","r, n, s, v","
+) he caught the express to New York
+) She showed her disappointment
+) She expressed her anger","+) người đưa thư hoả tốc, công văn hoả tốc
+) xe lửa tốc hành, xe nhanh
+) (từ Mỹ,nghĩa Mỹ) hàng gửi xe lửa tốc hành; tiền gửi hoả tốc
+) hãng (vận tải) tốc hành
+) súng bắn nhanh",express
architecture,"
+) an architectural product or work
+) the discipline dealing with the principles of design and construction and ornamentation of fine buildings
+) the profession of designing buildings and environments with consideration for their esthetic effect",n,"
+) architecture and eloquence are mixed arts whose end is sometimes beauty and sometimes use
+) the architecture of a computer's system software","+) thuật kiến trúc, khoa kiến trúc, khoa xây dựng
+) công trình kiến trúc, công trình xây dựng; cấu trúc
+) kiểu kiến trúc
+) sự xây dựng
+) (Tech) kiến trúc; cấu trúc",architecture
restful,"
+) affording physical or mental rest",a,"
+) she spent a restful night at home",+) yên tĩnh; thuận tiện cho sự nghỉ ngơi,restful
system,"
+) instrumentality that combines interrelated interacting artifacts designed to work as a coherent entity
+) a group of independent but interrelated elements comprising a unified whole
+) (physical chemistry) a sample of matter in which substances in different phases are in equilibrium",n,"
+) he bought a new stereo system
+) the system consists of a motor and a small computer
+) a vast system of production and distribution and consumption keep the country going","+) hệ thống; chế độ
+) phương pháp
+) (the system) cơ thể
+) hệ thống phân loại; sự phân loại
+) hệ, hệ thống",system
modular,"
+) constructed with standardized units or dimensions allowing flexibility and variety in use",s,"
+) modular furniture
+) modular homes","+) tính chất môđun, môđun tính
+) môđula; (thuộc) môđun",modular
handling,"
+) manual (or mechanical) carrying or moving or delivering or working with something
+) the action of touching with the hands (or the skillful use of the hands) or by the use of mechanical means
+) the management of someone or something","n, v","
+) the handling of prisoners
+) the treatment of water sewage
+) the right to equal treatment in the criminal justice system","+) cách trình bày, diễn xuất (tác phẩm (sân khấu))
+) tội chứa chấp hàng ăn cắp
+) quá trình tiến hành công việc mua bán (đóng gói đưa lên tàu cho người tiêu thụ)
+) (máy tính) điều khiển, xử lý, chỉnh lý
+) data h. chỉnh lý các dữ kiện",handling
typescript,"
+) typewritten matter especially a typewritten copy of a manuscript",n,"
+) ",+) bản đánh máy,typescript
code,"
+) a set of rules or principles or laws (especially written ones)
+) a coding system used for transmitting messages requiring brevity or secrecy
+) (computer science) the symbolic arrangement of data or instructions in a computer program or the set of such instructions","n, v","
+) Code the pieces with numbers so that you can identify them later
+) We should encode the message for security reasons","+) bộ luật, luật
+) điều lệ, luật lệ, quy tắc; đạo lý (của một xã hội, của một giai cấp)
+) mã, mật mã
+) viết bằng mã, viết bằng mật mã (bức điện)
+) (Tech) mã, mật mã; biên mã (đ); quy định, tiêu chuẩn (d)",code
quality,"
+) an essential and distinguishing attribute of something or someone; --Shakespeare
+) a degree or grade of excellence or worth
+) a characteristic property that defines the apparent individual nature of something","n, s","
+) the quality of mercy is not strained
+) the quality of students has risen
+) an executive of low caliber","+) chất, phẩm chất
+) phẩm chất ưu tú, tính chất hảo hạng
+) đặc tính, nét đặc biệt; năng lực, tài năng
+) đức tính, tính tốt
+) loại, hạng",quality
social,"
+) a party of people assembled to promote sociability and communal activity
+) relating to human society and its members
+) living together or enjoying life in communities or organized groups","n, a, s","
+) social institutions
+) societal evolution
+) societal forces","+) có tính chất xã hội, có tính chất thành viên của một tập thể, sống thành xã hội
+) thuộc quan hệ giữa người và người; thuộc xã hội
+) của các đồng minh, với các đồng minh
+) buổi họp mặt (liên hoan, giải trí); buổi dạ hội",sociable
media,"
+) a means or instrumentality for storing or communicating information
+) the surrounding environment
+) an intervening substance through which signals can travel as a means for communication",n,"
+) fish require an aqueous medium
+) the dissolving medium is called a solvent
+) a happy medium","+) người trung gian, vật môi giới
+) trung dung, sự chiết trung
+) bà đồng, đồng cốt
+) (nghệ thuật) chất pha màu
+) hoàn cảnh, môi trường",medium
designed,"
+) make or work out a plan for; devise
+) plan something for a specific role or purpose or effect
+) create the design for; create or execute in an artistic or highly skilled manner","a, v","
+) They contrived to murder their boss
+) design a new sales strategy
+) plan an attack",,plan
stack,"
+) an orderly pile
+) (often followed by `of') a large number or amount or extent
+) a list in which the next item to be removed is the item most recently stored (LIFO)","n, v","
+) a batch of letters
+) a deal of trouble
+) a lot of money","+) cây rơm, đụn rơm
+) Xtec (đơn vị đo gỗ bằng khoảng 3 mét khối)
+) đống (than, củi)
+) (thông tục) một số lượng lớn, nhiều
+) (quân sự) cụm súng dựng chụm vào nhau",stack
pin,"
+) a piece of jewelry that is pinned onto the wearer's garment
+) when a wrestler's shoulders are forced to the mat
+) small markers inserted into a surface to mark scores or define locations etc.","n, v","
+) fever left him weak on his sticks
+) The child was pinned under the fallen tree
+) pin the needle to the shirt","+) ghim, đinh ghim
+) cặp, kẹp
+) chốt, ngõng
+) ống
+) trục (đàn)",pin
reservation,"
+) a district that is reserved for particular purpose
+) a statement that limits or restricts some claim
+) an unstated doubt that prevents you from accepting something wholeheartedly",n,"
+) he recommended her without any reservations
+) wondered who had made the booking","+) sự hạn chế; điều kiện hạn chế
+) (từ Mỹ,nghĩa Mỹ) vùng đất dành riêng
+) (từ Mỹ,nghĩa Mỹ) sự dành trước, sự giữ trước (vé tàu, buồng ở, chỗ ngồi ở rạp hát)
+) (pháp lý) sự bảo lưu
+) sự dữ trữ; sự bảo lưu",reservation
swagger,"
+) an itinerant Australian laborer who carries his personal belongings in a bundle as he travels around in search of work
+) a proud stiff pompous gait
+) to walk with a lofty proud gait, often in an attempt to impress others","n, s, v","
+) He struts around like a rooster in a hen house
+) groovy clothes","+) dáng điệu nghênh ngang; thái độ nghênh ngang; vẻ vênh váo
+) lời nói huênh hoanh khoác lác
+) vẻ đường hoàng tự tin; vẻ phóng khoáng
+) tính hợp thời trang; vẻ bảnh bao, vẻ lịch sự
+) (thông tục) bảnh bao",swagman
azure,"
+) a light shade of blue
+) color azure
+) of a deep somewhat purplish blue color similar to that of a clear October sky","n, s, v","
+) Morning azured the village
+) October's bright blue weather","+) xanh da trời, trong xanh
+) màu xanh da trời
+) bầu trời xanh ngắt; bầu trời trong xanh
+) đá da trời
+) nhuộm màu xanh da trời",azure
scalable,"
+) capable of being scaled; possible to scale",a,"
+) the scalable slope of a mountain",+) có thể leo bằng thang,scalable
full,"
+) the time when the Moon is fully illuminated
+) beat for the purpose of cleaning and thickening
+) make (a garment) fuller by pleating or gathering","a, r, s, n, v","
+) the moon is at the full
+) full the cloth
+) the moon is waxing","+) đầy, đầy đủ, nhiều, tràn trề, tràn ngập, chan chứa
+) chật, đông, chật ních, hết chỗ ngồi (rạp hát, xe buýt...)
+) no, no nê
+) hết sức, ở mức độ cao nhất
+) tròn, đầy đặn, nở nang (đàn bà)",full_moon
error,"
+) a wrong action attributable to bad judgment or ignorance or inattention
+) inadvertent incorrectness
+) a misconception resulting from incorrect information",n,"
+) he made a bad mistake
+) she was quick to point out my errors
+) I could understand his English in spite of his grammatical faults","+) sự sai lầm, sự sai sót, lỗi; ý kiến sai lầm; tình trạng sai lầm
+) (kỹ thuật) sai số; độ sai
+) sự vi phạm
+) (rađiô) sự mất thích ứng
+) (Tech) sai số; sai lầm, lỗi; thiếu sót",mistake
