word,meaning,part_of_speech,examples,phonetic,meaning_vi
extraction,the process of obtaining something from a mixture or compound by chemical or physical or mechanical means,n,,extraction,"
+) sự trích (sách); sự chép (một đoạn trong sách)
+) sự nhổ (răng...)
+) sự bòn rút, sự moi
+) sự hút, sự bóp, sự nặn
+) sự rút ra (nguyên tắc, sự thích thú
+) (toán học) phép khai (căn)
+) (hoá học) sự chiết
+) dòng giống, nguồn gốc
+) tỷ lê xay bột (giữa trọng lượng bột xay được và gạo đưa xay)
+) sự trích; sự khai (căn)
+) e. of a root sự khai căn"
itself,,,,,"
+) bản thân cái đó, bản thân điều đó, bản thân con vật đó
+) tự nó
+) một mình
+) trong bản chất nó, tự nó"
database,an organized body of related information,n,,database,"
+) (Tech) kho dữ liệu, cơ sở dữ liệu [TN]"
wrapper,a loose dressing gown for women,n,,negligee,"
+) tờ bọc (sách); băng (tờ báo); lá áo (điếu xì gà)
+) người bao gói; giấy gói, vải gói
+) áo choàng đàn bà (mặc trong nhà)"
regularization,the condition of having been made regular (or more regular),n,,regularization,"
+) sự làm theo quy tắc, sự làm theo đúng thể thức
+) sự chính quy hoá"
penalty,the act of punishing,n,,punishment,"
+) hình phạt, tiền phạt
+) (thể dục,thể thao) quả phạt đền (bóng đá)
+) (định ngữ),  (thể dục,thể thao) phạt đền
+) gánh lấy hậu quả tai hại của, chịu mọi thiệt thòi về"
ensemble,a group of musicians playing or singing together,n,a string ensemble,ensemble,"
+) toàn bộ; ấn tượng chung
+) (âm nhạc) khúc đồng diễn; đồng diễn
+) (sân khấu) đoàn hát múa
+) (từ Mỹ,nghĩa Mỹ) bộ quần áo
+) (Tech) tập hợp, nhóm
+) tập hợp"
prevention,the act of preventing,n,"there was no bar against leaving
money was allocated to study the cause and prevention of influenza",prevention,"
+) sự ngăn cản, sự ngăn trở, sự ngăn ngừa, sự phòng ngừa"
classified,a short ad in a newspaper or magazine (usually in small print) and appearing along with other ads of the same type,n,,classified_ad,"
+) đã được phân loại
+) (từ Mỹ,nghĩa Mỹ) chính thức được coi là mậtclassify /'klæsifai/
+) phân loại
+) (Tech) phân loại, phân hạng, phân cấp
+) phân loại, phân lớp, phân hạng"
republic,a political system in which the supreme power lies in a body of citizens who can elect people to represent them,n,,democracy,"
+) nước cộng hoà; nền cộng hoà
+) giới"
gender,a grammatical category in inflected languages governing the agreement between nouns and pronouns and adjectives; in some languages it is quite arbitrary but in Indo-European languages it is usually based on sex or animateness,n,,gender,"
+) (ngôn ngữ học) giống
+) (thơ ca) (như) engender"
discover,"discover or determine the existence, presence, or fact of",v,"She detected high levels of lead in her drinking water
We found traces of lead in the paint",detect,"
+) khám phá ra, tìm ra, phát hiện ra, nhận ra
+) để lộ ra, bộc lộ ra, phơi bày ra
+) khám phá ra"
accordance,concurrence of opinion,n,we are in accord with your proposal,accord,"
+) sự đồng ý, sự thoả thuận (với ai)
+) sự phù hợp, sự theo đúng (cái gì)
+) sự cho, sự ban cho"
divided,separate into parts or portions,v,"divide the cake into three equal parts
The British carved up the Ottoman Empire after World War I",divide,"
+) phân chia
+) số bị chiadivide /di'vaid/
+) (từ Mỹ,nghĩa Mỹ) đường chia nước
+) chia, phân chia"
forum,a public meeting or assembly for open discussion,n,,forum,"
+) diễn đàn ((nghĩa đen) &amp;amp; (nghĩa bóng))
+) toà án
+) (từ cổ,nghĩa cổ) (La mã) chợ, nơi công cộng; chỗ hội họp"
subset,a set whose members are members of another set; a set contained within another set,n,,subset,"
+) tập hợp con
+) tập hợp con
+) bounded s. tập hợp con bị chặn
+) imprimitive s. tập hợp con phi nguyên thuỷ
+) proper s. tập hợp con thực sự"
implementation,the act of accomplishing some aim or executing some order,n,the agency was created for the implementation of the policy,execution,"
+) sự thi hành, sự thực hiện đây đủ
+) sự bổ sung"
accepted,consider or hold as true,v,"I cannot accept the dogma of this church
accept an argument",accept,"
+) đã được thừa nhận, đã được công nhận
+) được công nhận, được thừa nhậnaccept /ək'sept/
+) nhận, chấp nhận, chấp thuận
+) thừa nhận
+) đảm nhận (công việc...)
+) (thương nghiệp) chịu trách nhiệm về; nhận thanh toán (hoá đơn, hối phiếu...)
+) nhận, chấp nhận; thừa nhận; không bác bỏ"
found,food and lodging provided in addition to money,n,they worked for $30 and found,found,"
+) nấu chảy (kim loại, vật liệu làm thuỷ tinh...)
+) đúc (kim loại)
+) thành lập, sáng lập, xây dựng, đặt nền móng
+) căn xứ vào, dựa trên
+) xây dựng, thành lậpfind /faind/
+) sự tìm thấy (chồn, cáo, mỏ, vàng...)
+) vật tìm thấy
+) thấy, tìm thấy, tìm ra, bắt được
+) nhận, nhận được, được
+) nhận thấy, xét thấy, thấy
+) thấy có (thời gian, can đảm...)
+) (từ Mỹ,nghĩa Mỹ) tới, đạt tới, trúng
+) cung cấp
+) (pháp lý) xác minh và tuyên bố (tội, tội giết người...)
+) khám phá ra, tìm ra
+) phát minh ra
+) giải (một vấn đề)
+) hỏi về, tìm hiểu về
+) lợi dụng
+) đi đứng được
+) (nghĩa bóng) tự lực được
+) (xem) bill
+) thấy được sở trường năng khiếu của mình
+) tự cung cấp cho mình
+) tìm thấy"
mapping,(mathematics) a mathematical relation such that each element of a given set (the domain of the function) is associated with an element of another set (the range of the function),n,,function,"
+) bản vẽ, bản đồ
+) sự sắp xếp, sự sắp đặt, sự vạch ra (chiến lược...)
+) (toán học) phép ánh xạ
+) ánh xạ m. into ánh xạ vào; m. onto ánh xạ lên
+) m. of a set into another ánh xạ một tập hợp này vào một tập hợp khác
+) m. of a set onto another ánh xạ một tập hợp này lên một tập hợp khác
+) affine m. ánh xạ afin
+) analytic m. ánh xạ giải tích
+) bicontinuous m. ánh xạ song liên tục
+) chain m. ánh xạ dây chuyền
+) closed m. ánh xạ đóng
+) conformal l. ánh xạ bảo giác
+) diferentiable m. ánh xạ khả vi
+) epimorphic m. ánh xạ toàn hình
+) equiareal m. ánh xạ bảo toàn diện tích
+) homomorphous m. ánh xạ đồng cấu
+) homotopic cjain m. ánh xạ dây chuyền đồng luân
+) identity m. ánh xạ đồng nhất
+) interior m. (giải tích) ánh xạ trong
+) inverse m. ánh xạ ngược
+) isometric m. ánh xạ đẳng cực
+) isotonic m. (đại số) ánh xạ bảo toàn thứ tự
+) light m. (tô pô) ánh xạ thuần gián đoạn
+) linear m. ánh xạ tuyến tính
+) meromorphic m. (đại số) ánh xạ phân hình
+) monomorphic m. (đại số) ánh xạ đơn cấu
+) monotone m. (giải tích) ánh xạ đơn điệu
+) non-alternating m. ánh xạ không thay phiên
+) norm-preserving m. (giải tích) ánh xạ bảo toàn chuẩn
+) one-to-one m. ánh xạ [một - một, hai chiều]
+) open m. (giải tích) ánh xạ mở
+) perturbation m. (giải tích) ánh xạ lệch
+) preclosed m. ánh xạ tiền đóng
+) pseudoconformal m. ánh xạ giả bao giác
+) quasi-conformal m. ánh xạ tựa bảo giác
+) quasi-open m. (tô pô) ánh xạ tựa mở
+) rational m. hh(đại số) ánh xạ hữu tỷ
+) sense-preserving m. (giải tích) ánh xạ bảo toàn chiều
+) slit m. ánh xạ lên miền có lát cắt trong
+) starlike (giải tích) ánh xạ hình sao
+) symplectic m. ánh xạ ximplectic ánh xạ đối ngẫu
+) topological m. ánh xạ tô pô
+) univalent m. ánh xạ đơn diệpmap /mæp/
+) bản đồ
+) (toán học) bản đồ; ảnh tượng
+) (từ lóng) mặt
+) (thông tục) không quan trọng
+) (thông tục) lỗi thời
+) (từ lóng) biến mất
+) (thông tục) quan trọng có tiếng
+) nóng hổi, có tính chất thời sự (vấn đề...)
+) vẽ lên bản đồ
+) sắp xếp, sắp đặt, vạch ra
+) xạ ảnh; bản đồ; bản phương án
+) m. into ánh xạ vào
+) m. onto ánh xạ lên
+) a m. of the set A into B ánh xạ của tập hợp A vào B
+) canonical m. ánh xạ chính tắc
+) classifying m. ánh xạ phana loại
+) conformal m. ánh xạ bảo giác
+) constant m. ánh xạ không đổi
+) contiguous m. ánh xạ tiếp lên
+) continuous m. ánh xạ liên tục
+) contous m. phươgn án các đường nằm ngang
+) equivariant m. ánh xạ đẳng biến
+) evaluation m. ánh xạ định giá
+) excission m. ánh xạ cắt
+) fibre m. ánh xạ phân thớ, ánh xạ các không gian phân thớ
+) geographic(al) m. bản đồ địa lý
+) identification m. ánh xạ đồng nhất hoá
+) inclusion m. phép nhúng chìm, ánh xạ nhúng chìm
+) inessentical m. ánh xạ không cốt yếu
+) interior m. ánh xạ trong
+) involutory m. ánh xạ đối hợp
+) light m. ánh xạ chuẩn gián đoạn (khắp nơi có các điểm gián đoạn)
+) lowering m. anh xạ hạ thấp
+) regular m. ánh xạ chính quy
+) shrinking m. ánh xạ co rút
+) simplicial m. ánh xạ đơn hình
+) tensor m. ánh xạ tenxơ"
disregard,lack of attention and due care,n,,disregard,"
+) sự không để ý, sự không đếm xỉa đến, sự bất chấp, sự coi thường, sự coi nhẹ
+) không để ý đến, không đếm xỉa đến, bất chấp, coi thường, coi nhẹ"
lack,the state of needing something that is absent or unavailable,n,"there is a serious lack of insight into the problem
water is the critical deficiency in desert regions
for want of a nail the shoe was lost",lack,"
+) sự thiếu
+) thiếu, không có
+) thiếu, không có (chỉ động tính từ quá khứ)
+) sự thiếu, sự vắng mặt"
grid,a pattern of regularly spaced horizontal and vertical lines,n,,grid,"
+) hệ thống đường dây (điện phân bố trong một khu vực)
+) đường kẻ ô (để vẽ bản đồ)
+) vỉ (nướng chả)
+) chấn song sắt
+) (raddiô) lưới điều khiển
+) (Tech) lưới; mạng lưới; mạng lưới phát điện; cực lưới
+) mạng lưới"
sensitivity,(physiology) responsiveness to external stimuli; the faculty of sensation,n,sensitivity to pain,sensitivity,"
+) tính dễ cảm xúc; tính nhạy cảm
+) tính nhạy; độ nhạy"
depression,a mental state characterized by a pessimistic sense of inadequacy and a despondent lack of activity,n,,depression,"
+) chỗ lõm, chỗ đất lún, chỗ sụt xuống
+) sự chán nản, sự ngã lòng; sự buồn rầu, sự phiền muộn
+) tình trạng đình đốn, tình trạng trì trệ, tình trạng đình trệ
+) sự suy yếu, sự suy nhược, sự sút kém (về thể lực)
+) sự giảm giá, sự sụt giá
+) sự nén xuống, sự đẩy xuống, sự hạ xuống
+) sự hạ (giọng)
+) (vật lý),  (toán học) sự giảm, sự hạ thấp
+) (thiên văn học) góc nổi, phù giác
+) sự giảm, sự hạ; vlđc. miền áp suất thấp; (toán kinh tế) sự suy thoái
+) d. of order (of differential equation) sự giảm cấp (của một phương
+) trình vi phân)"
interconnected,be interwoven or interconnected,v,The bones are interconnected via the muscle,complect,"
+) nối liền với nhau; liên kếtinterconnect /'intəkə'nekt/
+) nối liền với nhau
+) nối lại liên kết lại"
tolerance,the power or capacity of an organism to tolerate unfavorable environmental conditions,n,,tolerance,"
+) lòng khoan dung; sự tha thứ
+) sự kiên nhẫn
+) sự chịu đựng; sức chịu đựng
+) (y học) sự chịu được thuốc
+) sự cho phép, độ dung sai"
fact,a piece of information about circumstances that exist or events that have occurred,n,first you must collect all the facts of the case,fact,"
+) việc, sự việc
+) sự thật
+) sự kiện
+) thực tế
+) cơ sở lập luận
+) trên thực tế, thực tế là
+) nói tóm lại
+) sự việc in f.thật ra"
constitute,form or compose,v,"This money is my only income
The stone wall was the backdrop for the performance
These constitute my entire belonging",constitute,"
+) cấu tạo, tạo thành
+) thiết lập, thành lập
+) chỉ đinh, uỷ nhiệm
+) khoẻ, có thể chất khoẻ"
later,coming at a subsequent time or stage,s,"without ulterior argument
the mood posterior to",later,"
+) chậm hơnlate /leit/
+) muộn, chậm, trễ
+) (thơ ca) mới rồi, gần đây
+) (xem) better
+) chậm; cuối; sau; không lâu; thời gian gần đây"
stated,express in words,v,"He said that he wanted to marry her
tell me what is bothering you
state your opinion",state,"
+) đã định
+) đã được phát biểu, đã được tuyên bố
+) được phát biểu, được trình bày, được biếtstate /steit/
+) trạng thái, tình trạng
+) địa vị xã hội
+) (thông tục) sự lo lắng
+) quốc gia, bang
+) nhà nước, chính quyền
+) sự phô trương sang trọng, sự trang trọng, sự trọng thể, sự huy hoàng
+) tập (trong sách chuyên đề)
+) (từ cổ,nghĩa cổ) ngai, bệ
+) quàn
+) (thuộc) nhà nước
+) (thuộc) chính trị
+) dành riêng cho nghi lễ; chính thức
+) phát biểu, nói rõ, tuyên bố
+) định (ngày, giờ)
+) (toán học) biểu diễn bằng ký hiệu (một phương trình...)
+) trạng thái, chế độ
+) absorbing s. (điều khiển học) trạng thái hút thu
+) aperiodic s. trạng thái không tuần hoàn
+) critical s. trạng thái tới hạn
+) ergodic s. trạng thái egođic
+) inaccessible s. (điều khiển học) trạng thái không đạt được
+) initial s. (điều khiển học) trạng thái trong
+) quasi-stationary s. trạng thái tựa dừng
+) solid s. trạng thái rắn
+) stationary s. (vật lí) trạng thái dừng
+) steady s. [trạng thái, chế độ] ổn định
+) terminal s. trạng thái cuối
+) transinet s. trạng thái chuyển
+) zero s. (điều khiển học) trạng thái không"
